species_name,common_name,origin,domestication_level,popularity_score,avg_cost_usd,care_difficulty,avg_lifespan_years,temperament,breeding_availability,common_morphs,reasons_for_domestication,first_domesticated_era
Python regius,Ball Python,West Africa,Fully Domesticated,10,100,Beginner,20-30,Docile,"Widely bred","Albino,Piebald,Banana,Clown,Pastel","Docile nature, manageable size, beautiful patterns, ease of care",1990s
Pantherophis guttatus,Corn Snake,Eastern USA,Fully Domesticated,9,80,Beginner,15-20,Very Docile,"Widely bred","Amelanistic,Snow,Bloodred,Okeetee,Striped","Hardy, docile, colorful, ideal beginner snake",1980s
Lampropeltis triangulum,Milk Snake,Americas,Fully Domesticated,7,120,Beginner,12-20,Generally Docile,Commonly bred,"Honduran,Pueblan,Sinaloan,Tangerine,Tricolor","Beautiful colors mimicking coral snakes, easy care",1970s
Boa constrictor,Boa Constrictor,Central/South America,Fully Domesticated,8,200,Intermediate,20-30,Generally Calm,Commonly bred,"Hypo,Albino,Jungle,Sunglow,Ghost","Impressive size, calm demeanor, beautiful patterns",1970s
Python bivittatus,Burmese Python,Southeast Asia,Domesticated,6,150,Advanced,20-25,Generally Docile,Commonly bred,"Albino,Green,Labyrinth,Granite,Leucistic","Large impressive snake, color morphs, docile when captive-bred",1980s
Morelia spilota,Carpet Python,Australia/New Guinea,Semi-Domesticated,6,250,Intermediate,15-20,Variable,Moderately bred,"Jungle,Irian Jaya,Diamond,Coastal,Zebra","Beautiful patterns, active behavior, variety of subspecies",1990s
Lampropeltis getula,Common Kingsnake,USA,Fully Domesticated,7,100,Beginner,15-20,Generally Docile,Commonly bred,"California,Desert,Speckled,Brooks,Apalachicola","Hardy, beautiful patterns, eats other snakes (interesting behavior)",1970s
Elaphe obsoleta,Rat Snake,USA,Fully Domesticated,6,80,Beginner,15-20,Can be nippy when young,Commonly bred,"Texas,Black,Yellow,Leucistic,Albino","Hardy, good size, interesting color variations",1980s
Liasis mackloti,Macklot's Python,Indonesia,Semi-Domesticated,4,200,Intermediate,15-20,Generally Calm,Moderately bred,"Normal,Olive,Savuensis","Moderate size, beautiful iridescence, unique species",2000s
Antaresia maculosa,Spotted Python,Australia,Semi-Domesticated,5,150,Beginner,15-20,Docile,Moderately bred,"Normal,Caramel,Granite","Small size, easy care, good for small spaces",1990s
Antaresia childreni,Children's Python,Australia,Semi-Domesticated,6,120,Beginner,15-25,Very Docile,Moderately bred,"Normal,Albino,Caramel","Smallest python species, very docile, easy care",1990s
Boaedon fuliginosus,African House Snake,Africa,Semi-Domesticated,5,80,Beginner,9-20,Docile,Moderately bred,"Normal,Albino,Leucistic","Small, easy care, interesting African species",2000s
Gonyosoma oxycephalum,Red-tailed Racer,Southeast Asia,Semi-Domesticated,4,200,Intermediate,12-15,Can be defensive,Limited breeding,"Normal,Albino","Stunning green coloration, arboreal behavior",2000s
Ptyas mucosa,Oriental Rat Snake,Asia,Semi-Domesticated,3,100,Intermediate,12-15,Can be defensive,Limited breeding,Normal,"Large Asian species, interesting behavior",2000s
Thamnophis sirtalis,Common Garter Snake,North America,Semi-Domesticated,5,40,Beginner,6-10,Very Docile,Moderately bred,"Albino,Red,Blue,Erythristic,Melanistic","Native species, easy care, live birth, active",1990s
Heterodon nasicus,Western Hognose Snake,USA,Fully Domesticated,8,150,Beginner,15-20,Docile (defensive display),Widely bred,"Albino,Conda,Axanthic,Toffee,Snow","Adorable upturned snout, interesting defensive behaviors, small size",1990s
Pituophis catenifer,Gopher Snake/Bull Snake,USA,Semi-Domesticated,5,100,Beginner,15-20,Can be defensive,Moderately bred,"Albino,Axanthic,Leucistic,Patternless","Large impressive snake, interesting behaviors, hardy",1990s
Dendrelaphis punctulatus,Common Tree Snake,Australia,Rarely Domesticated,2,150,Advanced,8-12,Defensive,Rarely bred,Normal,"Beautiful blue color when stressed, arboreal",2010s
Morelia viridis,Green Tree Python,Indonesia/Australia,Domesticated,7,400,Advanced,15-20,Variable,Commonly bred,"High Yellow,Blue,Jayapura,Biak,Sorong","Stunning emerald green color, arboreal display, color morphs",1990s
Corallus hortulanus,Amazon Tree Boa,South America,Semi-Domesticated,4,250,Intermediate,12-20,Can be defensive,Limited breeding,"Normal,Solid colored variants","Beautiful patterns and colors, arboreal behavior",2000s
